effect,order,ss,share_sys,design,outcome
topology,1,1.3076737942636206e-06,0.00012612924908397347,C-D1,mean_total_shift
message_condition,1,0.01032720503711694,0.9960913969384002,C-D1,mean_total_shift
inoculation,1,5.5206895581594564e-06,0.0005324878662025177,C-D1,mean_total_shift
seeding_regime,1,1.5043252359810415e-06,0.0001450968989549923,C-D1,mean_total_shift
topology × message_condition,2,2.6507217032907537e-06,0.00025567044276124254,C-D1,mean_total_shift
topology × inoculation,2,1.7324524025183518e-06,0.0001671004814518095,C-D1,mean_total_shift
topology × seeding_regime,2,1.7694320060693781e-06,0.0001706672804866869,C-D1,mean_total_shift
message_condition × inoculation,2,7.780555100860009e-07,7.504590033331478e-05,C-D1,mean_total_shift
message_condition × seeding_regime,2,1.3746780131457942e-06,0.000132592016671838,C-D1,mean_total_shift
inoculation × seeding_regime,2,1.429690765378768e-06,0.00013789816959745735,C-D1,mean_total_shift
topology × message_condition × inoculation,3,4.773756971976004e-06,0.0004604438697372365,C-D1,mean_total_shift
topology × message_condition × seeding_regime,3,3.063479681094522e-06,0.0002954822475264556,C-D1,mean_total_shift
topology × inoculation × seeding_regime,3,1.857325561685684e-06,0.0001791448902834389,C-D1,mean_total_shift
message_condition × inoculation × seeding_regime,3,1.8247450644676838e-06,0.0001760023988861842,C-D1,mean_total_shift
topology × message_condition × inoculation × seeding_regime,4,1.0936308588414823e-05,0.001054841349622774,C-D1,mean_total_shift
topology,1,1.5680502296150298e-06,0.00046944200269167645,C-D1,mean_signed_shift
message_condition,1,0.0032684065885147714,0.978493740535171,C-D1,mean_signed_shift
inoculation,1,1.6841230487411587e-05,0.005041918185072172,C-D1,mean_signed_shift
seeding_regime,1,2.8671126561481303e-07,8.583545870053354e-05,C-D1,mean_signed_shift
topology × message_condition,2,2.6339328825235493e-06,0.0007885453565035869,C-D1,mean_signed_shift
topology × inoculation,2,6.702844691330016e-06,0.0020066939031677267,C-D1,mean_signed_shift
topology × seeding_regime,2,1.0157444591297884e-06,0.0003040930093380544,C-D1,mean_signed_shift
message_condition × inoculation,2,4.001065947454967e-06,0.0011978368905541125,C-D1,mean_signed_shift
message_condition × seeding_regime,2,2.5214268070988984e-06,0.0007548633504269733,C-D1,mean_signed_shift
inoculation × seeding_regime,2,7.861754519414536e-07,0.0002353647680770011,C-D1,mean_signed_shift
topology × message_condition × inoculation,3,5.170368119747446e-06,0.0015479019223659275,C-D1,mean_signed_shift
topology × message_condition × seeding_regime,3,6.132718310307341e-06,0.0018360097853762,C-D1,mean_signed_shift
topology × inoculation × seeding_regime,3,4.059531426598605e-06,0.0012153402530734729,C-D1,mean_signed_shift
message_condition × inoculation × seeding_regime,3,4.3777039109762356e-06,0.0013105945538902848,C-D1,mean_signed_shift
topology × message_condition × inoculation × seeding_regime,4,1.5738622514964006e-05,0.004711820025591223,C-D1,mean_signed_shift
topology,1,5.346834356373575e-06,0.001142509287604676,C-D1,conversion_rate
message_condition,1,0.0040406945518902185,0.8634138905771703,C-D1,conversion_rate
inoculation,1,2.294299401195393e-05,0.004902449187128773,C-D1,conversion_rate
seeding_regime,1,7.923368690960544e-06,0.001693062046657134,C-D1,conversion_rate
topology × message_condition,2,4.357251136761619e-05,0.009310555667844897,C-D1,conversion_rate
topology × inoculation,2,2.930496339191895e-05,0.006261872094143316,C-D1,conversion_rate
topology × seeding_regime,2,8.289233194823457e-05,0.017712398179901813,C-D1,conversion_rate
message_condition × inoculation,2,1.2145773361543072e-05,0.0025953036779908963,C-D1,conversion_rate
message_condition × seeding_regime,2,1.0633461821951684e-05,0.0022721535924313417,C-D1,conversion_rate
inoculation × seeding_regime,2,6.926273938529007e-06,0.0014800032647038516,C-D1,conversion_rate
topology × message_condition × inoculation,3,8.06188716638255e-05,0.01722660615478671,C-D1,conversion_rate
topology × message_condition × seeding_regime,3,7.23103413203495e-05,0.015451242930292727,C-D1,conversion_rate
topology × inoculation × seeding_regime,3,3.388648942743855e-05,0.007240850625756921,C-D1,conversion_rate
message_condition × inoculation × seeding_regime,3,8.207782958415209e-05,0.017538355661709543,C-D1,conversion_rate
topology × message_condition × inoculation × seeding_regime,4,0.00014862790324301524,0.03175874705187702,C-D1,conversion_rate
topology,1,6.255768687279591e-05,0.00024439820629265494,C-D5,mean_total_shift
message_condition,1,0.063134680761211,0.2466523860492884,C-D5,mean_total_shift
inoculation,1,5.103099358673975e-05,0.00019936611983897932,C-D5,mean_total_shift
seeding_regime,1,0.17053374721998982,0.6662353423917097,C-D5,mean_total_shift
topology × message_condition,2,1.3259239124249755e-05,5.180073658032303e-05,C-D5,mean_total_shift
topology × inoculation,2,9.559703764223758e-06,3.7347519856611473e-05,C-D5,mean_total_shift
topology × seeding_regime,2,3.2265769049688586e-05,0.0001260547899801928,C-D5,mean_total_shift
message_condition × inoculation,2,7.878342680761596e-06,3.077883655852229e-05,C-D5,mean_total_shift
message_condition × seeding_regime,2,0.02204971955886137,0.08614308135144993,C-D5,mean_total_shift
inoculation × seeding_regime,2,1.8959118614797488e-05,7.406882853210428e-05,C-D5,mean_total_shift
topology × message_condition × inoculation,3,6.377725180625737e-06,2.4916276037217955e-05,C-D5,mean_total_shift
topology × message_condition × seeding_regime,3,9.644524009477795e-06,3.767889265560165e-05,C-D5,mean_total_shift
topology × inoculation × seeding_regime,3,9.704656908637865e-06,3.791381778516697e-05,C-D5,mean_total_shift
message_condition × inoculation × seeding_regime,3,7.888377898890298e-06,3.0818041801443073e-05,C-D5,mean_total_shift
topology × message_condition × inoculation × seeding_regime,4,1.8953823467338093e-05,7.404814163324623e-05,C-D5,mean_total_shift
topology,1,4.9449396015550966e-05,0.0005415348646475425,C-D5,mean_signed_shift
message_condition,1,0.021887052863637447,0.23969154661294703,C-D5,mean_signed_shift
inoculation,1,0.00015328430722282363,0.001678661485337441,C-D5,mean_signed_shift
seeding_regime,1,0.06057699133993287,0.6633964304783307,C-D5,mean_signed_shift
topology × message_condition,2,1.7860874382262526e-05,0.00019559968311935565,C-D5,mean_signed_shift
