design,outcome,metric,lo95,median,hi95
C-D1,conversion_rate,main_rho__message_condition,0.002083124365080267,0.002343500613707459,0.0026100593718740794
C-D1,conversion_rate,main_rho__seeding_regime,5.73852283677487e-08,9.797448187693861e-07,4.5824247477797654e-06
C-D1,conversion_rate,main_share__message_condition,0.6994999045136961,0.7493831750143248,0.7916214681770951
C-D1,conversion_rate,main_share__seeding_regime,0.000141203771258951,0.002460213796847184,0.011223422021627533
C-D1,conversion_rate,omega,0.07082975832318582,0.07665531983207896,0.08304358998291951
C-D1,conversion_rate,shapley_rho__message_condition,0.001284941335074368,0.0014434368026185898,0.0016063441727725536
C-D1,conversion_rate,shapley_rho__seeding_regime,1.6337183280772547e-05,2.2039731350365597e-05,2.9638148762814357e-05
C-D1,conversion_rate,shapley_share__message_condition,0.7687352690866304,0.81012828229195,0.8448376054172267
C-D1,conversion_rate,shapley_share__seeding_regime,0.04580766413464404,0.06031687858597805,0.07792774478024032
C-D1,conversion_rate,tau,0.0002747685257645322,0.00030580454615214463,0.00033701281643555537
C-D1,mean_signed_shift,main_rho__message_condition,0.004307510409333309,0.004447033465814864,0.0045826745647038
C-D1,mean_signed_shift,main_rho__seeding_regime,2.5953014756844874e-09,6.86316203482152e-08,3.378880201079331e-07
C-D1,mean_signed_shift,main_share__message_condition,0.961988278618506,0.9677619597629009,0.9737618050164827
C-D1,mean_signed_shift,main_share__seeding_regime,6.2298081539813e-06,0.00016236477891428926,0.0008039989148593722
C-D1,mean_signed_shift,omega,0.044725970586033274,0.04891066026938787,0.05337289926065005
C-D1,mean_signed_shift,shapley_rho__message_condition,0.0026180036954550675,0.002705247602023734,0.0027872670106935254
C-D1,mean_signed_shift,shapley_rho__seeding_regime,1.7776558935782534e-06,2.3291194378822606e-06,3.0040442330317983e-06
C-D1,mean_signed_shift,shapley_share__message_condition,0.9699452228539187,0.9746513706223167,0.9794413766644917
C-D1,mean_signed_shift,shapley_share__seeding_regime,0.004473697907429286,0.005858120549183357,0.007575041244617687
C-D1,mean_signed_shift,tau,0.00033633250985992864,0.00034669559668827057,0.00035701587744585363
C-D1,mean_total_shift,main_rho__message_condition,0.00859542519504601,0.008732950967003623,0.008862518165210316
C-D1,mean_total_shift,main_rho__seeding_regime,1.9893449140487362e-08,1.4751902739678722e-07,4.25621580069107e-07
C-D1,mean_total_shift,main_share__message_condition,0.9914207299555224,0.9929548337621168,0.9944610107871903
C-D1,mean_total_shift,main_share__seeding_regime,2.2951452382116973e-05,0.00017003470219348858,0.0004886733136090211
C-D1,mean_total_shift,omega,0.05247297429622093,0.05723254807233182,0.06263499119100124
C-D1,mean_total_shift,shapley_rho__message_condition,0.0054928051897569444,0.0055847053001210015,0.005669573866532839
C-D1,mean_total_shift,shapley_rho__seeding_regime,9.423832964963426e-07,1.2995983010830311e-06,1.7177605543197276e-06
C-D1,mean_total_shift,shapley_share__message_condition,0.9933770228579605,0.9945311037173561,0.9957450385266851
C-D1,mean_total_shift,shapley_share__seeding_regime,0.0011503492141508045,0.001581615982031288,0.0020849829471670253
C-D1,mean_total_shift,tau,0.000705778872856238,0.0007166103792036659,0.0007275488671516924
C-D10,conversion_rate,main_rho__message_condition,0.04148099740201232,0.043768796066695016,0.04623267150247072
C-D10,conversion_rate,main_rho__seeding_regime,0.02663662736831341,0.027629782475157412,0.02851309960367039
C-D10,conversion_rate,main_share__message_condition,0.1457890846402129,0.1519746294349702,0.15927007654792924
C-D10,conversion_rate,main_share__seeding_regime,0.7287234159177535,0.7395681179462146,0.7501244888806735
C-D10,conversion_rate,omega,0.27584012333448743,0.3001481466603298,0.32909010630908
C-D10,conversion_rate,shapley_rho__message_condition,0.031334915757707416,0.03313000613846816,0.03504612547467144
C-D10,conversion_rate,shapley_rho__seeding_regime,0.025925438601199644,0.026854573994949806,0.02773346788492897
C-D10,conversion_rate,shapley_share__message_condition,0.19432348223334264,0.20207471809648828,0.21089260200845264
C-D10,conversion_rate,shapley_share__seeding_regime,0.7810412513621519,0.7901554100132935,0.7980365023953215
C-D10,conversion_rate,tau,0.027124136578878966,0.028115920739468003,0.029026515824303472
C-D10,mean_signed_shift,main_rho__message_condition,0.08602679218285601,0.08724209970226701,0.08855582260443574
C-D10,mean_signed_shift,main_rho__seeding_regime,0.03770936799413937,0.03808412343801275,0.03841084984012775
C-D10,mean_signed_shift,main_share__message_condition,0.15350910596360906,0.15521141450056786,0.1570836001914981
C-D10,mean_signed_shift,main_share__seeding_regime,0.737295916438353,0.7400356009963808,0.7428764902504086
C-D10,mean_signed_shift,omega,0.2163561140217319,0.23406986459986562,0.2551970277274748
C-D10,mean_signed_shift,shapley_rho__message_condition,0.06886399431609895,0.06993224435139674,0.07103049774184965
C-D10,mean_signed_shift,shapley_rho__seeding_regime,0.03802297087082164,0.03839217317536298,0.038739885315202074
