design,outcome,factor,metric,point,p02_5,median,p97_5,range_width,bootstrap_draws,range_label,replications_design,replications_benchmark
C-D1,mean_total_shift,topology,B_total_U,2.3919042786851497e-06,2.355588199909756e-06,2.39288414956932e-06,2.428703359964691e-06,7.311516005493488e-08,1000,2.5th-97.5th percentile range from distinct-pair replication-block bootstrap,30,30
C-D1,mean_total_shift,topology,B_factor_U,2.9683422614709887e-10,-9.736989872679594e-10,2.3208593184002966e-10,1.816901077631199e-09,2.7906000648991585e-09,1000,2.5th-97.5th percentile range from distinct-pair replication-block bootstrap,30,30
C-D1,mean_total_shift,topology,q_proportion,8.832155307448903e-08,-2.894148789541378e-07,6.9097424057323e-08,5.404854383824003e-07,8.299003173365381e-07,1000,2.5th-97.5th percentile range from distinct-pair replication-block bootstrap,30,30
C-D1,mean_total_shift,topology,rho_proportion,0.00024667876953497216,-0.0008791032451853937,0.00019192509488952488,0.001448267780023809,0.0023273710252092027,1000,2.5th-97.5th percentile range from distinct-pair replication-block bootstrap,30,30
C-D1,mean_total_shift,topology,tau_proportion,0.0007116992654152278,0.0007012452840344512,0.0007118085562404227,0.0007219286590928647,2.0683375058413544e-05,1000,2.5th-97.5th percentile range from distinct-pair replication-block bootstrap,30,30
C-D1,mean_total_shift,message_condition,B_total_U,2.3919042786851497e-06,2.355588199909756e-06,2.39288414956932e-06,2.428703359964691e-06,7.311516005493488e-08,1000,2.5th-97.5th percentile range from distinct-pair replication-block bootstrap,30,30
C-D1,mean_total_shift,message_condition,B_factor_U,2.390269520912098e-06,2.35389883314667e-06,2.3909205600073432e-06,2.426096136435522e-06,7.219730328885177e-08,1000,2.5th-97.5th percentile range from distinct-pair replication-block bootstrap,30,30
C-D1,mean_total_shift,message_condition,q_proportion,0.0007112128513406426,0.0007007737573268992,0.0007113878423218481,0.0007216502103036364,2.0876452976737142e-05,1000,2.5th-97.5th percentile range from distinct-pair replication-block bootstrap,30,30
C-D1,mean_total_shift,message_condition,rho_proportion,0.005572592941540986,0.005490513493629806,0.005572054827485349,0.005652121549193283,0.00016160805556347715,1000,2.5th-97.5th percentile range from distinct-pair replication-block bootstrap,30,30
C-D1,mean_total_shift,message_condition,tau_proportion,0.0007116992654152278,0.0007012452840344512,0.0007118085562404227,0.0007219286590928647,2.0683375058413544e-05,1000,2.5th-97.5th percentile range from distinct-pair replication-block bootstrap,30,30
C-D1,mean_total_shift,inoculation,B_total_U,2.3919042786851497e-06,2.355588199909756e-06,2.39288414956932e-06,2.428703359964691e-06,7.311516005493488e-08,1000,2.5th-97.5th percentile range from distinct-pair replication-block bootstrap,30,30
C-D1,mean_total_shift,inoculation,B_factor_U,1.1274221410318003e-09,-4.1566422062247184e-10,1.0929403955977813e-09,2.8691869643154002e-09,3.2848511849378722e-09,1000,2.5th-97.5th percentile range from distinct-pair replication-block bootstrap,30,30
C-D1,mean_total_shift,inoculation,q_proportion,3.3545887129993087e-07,-1.2362942950995398e-07,3.249523355553375e-07,8.526246099754774e-07,9.762540394854313e-07,1000,2.5th-97.5th percentile range from distinct-pair replication-block bootstrap,30,30
C-D1,mean_total_shift,inoculation,rho_proportion,0.0013158478608891028,-0.0005136322895003872,0.0012377744737775255,0.0033639333257830576,0.0038775656152834448,1000,2.5th-97.5th percentile range from distinct-pair replication-block bootstrap,30,30
C-D1,mean_total_shift,inoculation,tau_proportion,0.0007116992654152278,0.0007012452840344512,0.0007118085562404227,0.0007219286590928647,2.0683375058413544e-05,1000,2.5th-97.5th percentile range from distinct-pair replication-block bootstrap,30,30
C-D1,mean_total_shift,seeding_regime,B_total_U,2.3919042786851497e-06,2.355588199909756e-06,2.39288414956932e-06,2.428703359964691e-06,7.311516005493488e-08,1000,2.5th-97.5th percentile range from distinct-pair replication-block bootstrap,30,30
C-D1,mean_total_shift,seeding_regime,B_factor_U,2.1050140587557753e-10,-8.034172347623025e-10,1.780545239925816e-10,1.3271287001808516e-09,2.130545934943154e-09,1000,2.5th-97.5th percentile range from distinct-pair replication-block bootstrap,30,30
C-D1,mean_total_shift,seeding_regime,q_proportion,6.263365021148551e-08,-2.389983737556497e-07,5.298986461068889e-08,3.9428795071502593e-07,6.332863244706756e-07,1000,2.5th-97.5th percentile range from distinct-pair replication-block bootstrap,30,30
C-D1,mean_total_shift,seeding_regime,rho_proportion,7.184734646662856e-08,-2.742920953251296e-07,6.079949239586352e-08,4.522695778663149e-07,7.265616731914445e-07,1000,2.5th-97.5th percentile range from distinct-pair replication-block bootstrap,30,30
