design,outcome,factor,replications,B_total_U,B_factor_U,q_proportion,rho_proportion,tau_proportion,in_sample_B_total,in_sample_B_factor
C-D1,mean_total_shift,topology,30,2.3919042786851497e-06,2.9683422614709887e-10,8.832155307448903e-08,0.00024667876953497216,0.0007116992654152278,2.399937123142049e-06,2.3957348924795645e-09
C-D1,mean_total_shift,message_condition,30,2.3919042786851497e-06,2.390269520912098e-06,0.0007112128513406426,0.005572592941540986,0.0007116992654152278,2.399937123142049e-06,2.3924910885300565e-06
C-D1,mean_total_shift,inoculation,30,2.3919042786851497e-06,1.1274221410318003e-09,3.3545887129993087e-07,0.0013158478608891028,0.0007116992654152278,2.399937123142049e-06,3.0193229730872346e-09
C-D1,mean_total_shift,seeding_regime,30,2.3919042786851497e-06,2.1050140587557753e-10,6.263365021148551e-08,7.184734646662856e-08,0.0007116992654152278,2.399937123142049e-06,2.030976746428091e-09
C-D10,mean_total_shift,topology,30,0.00022853334138815635,1.059440284341967e-07,3.152312067153288e-05,0.08804288815661956,0.06799896326881726,0.00022856671162918384,1.1459146118620909e-07
C-D10,mean_total_shift,message_condition,30,0.00022853334138815635,4.821542363431345e-05,0.014346260378399455,0.11240779630384805,0.06799896326881726,0.00022856671162918384,4.822500524843776e-05
C-D10,mean_total_shift,inoculation,30,0.00022853334138815635,5.608518533610183e-08,1.6687868975393373e-05,0.06545868531953629,0.06799896326881726,0.00022856671162918384,6.35859083025379e-08
C-D10,mean_total_shift,seeding_regime,30,0.00022853334138815635,0.00018015588854007267,0.0536044919007709,0.061489957694594456,0.06799896326881726,0.00022856671162918384,0.0001801635290112574
C-D5,mean_total_shift,topology,30,5.9231488817922564e-05,1.8733034393112415e-08,5.573921555048672e-06,0.015567752862364618,0.01762403598539434,5.9251441551208756e-05,2.3938456961733353e-08
C-D5,mean_total_shift,message_condition,30,5.9231488817922564e-05,1.7166527818853414e-05,0.00510781528645622,0.04002145821514137,0.01762403598539434,5.9251441551208756e-05,1.717194861028724e-05
C-D5,mean_total_shift,inoculation,30,5.9231488817922564e-05,1.4194721489752598e-08,4.22356903955372e-06,0.016567080979191712,0.01762403598539434,5.9251441551208756e-05,1.8971825304111602e-08
C-D5,mean_total_shift,seeding_regime,30,5.9231488817922564e-05,4.203203324318629e-05,0.012506423208343515,0.014346175231271572,0.01762403598539434,5.9251441551208756e-05,4.203658265865568e-05
C-D50,mean_total_shift,topology,30,0.0033608356716367236,1.2033229560317555e-06,0.00035804278268855035,1.0,1.0,0.0033609760803919877,1.2405441608435302e-06
C-D50,mean_total_shift,message_condition,30,0.0033608356716367236,0.0004289330920070968,0.12762691601586304,1.0,1.0,0.0033609760803919877,0.0004289723176639915
C-D50,mean_total_shift,inoculation,30,0.0033608356716367236,8.568028071801664e-07,0.00025493742952415886,1.0,1.0,0.0033609760803919877,8.884876613631394e-07
C-D50,mean_total_shift,seeding_regime,30,0.0033608356716367236,0.002929842453866415,0.8717601037719244,1.0,1.0,0.0033609760803919877,0.00292987473090579
CS-0,mean_total_shift,topology,30,0.00016458535334920954,3.216109134351207e-07,9.569373360004134e-05,0.2672689919385477,0.048971556312081346,0.0001646537412011864,3.395297017771136e-07
CS-0,mean_total_shift,message_condition,30,0.00016458535334920954,0.0001632321112920691,0.04856890584375856,0.38055378410712215,0.048971556312081346,0.0001646537412011864,0.00016325112220512262
CS-0,mean_total_shift,inoculation,30,0.00016458535334920954,2.212930000471565e-07,6.584463558118182e-05,0.2582776319039575,0.048971556312081346,0.0001646537412011864,2.3651849464300856e-07
CS-0,mean_total_shift,seeding_regime,30,0.00016458535334920954,8.103381436583885e-07,0.00024111209914162647,0.0002765807910896411,0.048971556312081346,0.0001646537412011864,8.265707996438415e-07
CS-15,mean_total_shift,topology,30,0.0002084105827184052,2.9966007913499714e-07,8.916237162796566e-05,0.24902714407044782,0.06201153614181602,0.00020848158271968468,3.183781431254476e-07
CS-15,mean_total_shift,message_condition,30,0.0002084105827184052,0.0001594110262491174,0.04743196092401756,0.3716454365952252,0.06201153614181602,0.00020848158271968468,0.00015943030365799706
CS-15,mean_total_shift,inoculation,30,0.0002084105827184052,2.0776944381972882e-07,6.18207684395784e-05,0.2424938878334459,0.06201153614181602,0.00020848158271968468,2.2417680939640917e-07
