config,design,replication_start,replications,rows,seed_manifest,release_config_sha256,simulation_output
configs/cs_0.yaml,CS-0,0,30,4320,outputs/replay_inputs/cs_0_seed_manifest.csv,ab4ce9ab7515faa6314a7f79102341630995a089671e40f2211979cfd3aa362f,outputs/cs_0
configs/cs_15.yaml,CS-15,0,30,4320,outputs/replay_inputs/cs_15_seed_manifest.csv,9823fb48a886ec3c3e9aae90a5a33f22c9dc5091b20a0cc71b3fcbde42554565,outputs/cs_15
configs/cs_30.yaml,CS-30,0,30,4320,outputs/replay_inputs/cs_30_seed_manifest.csv,97c61fde68555e9b798a3d37a1b9602200d3d4594ad89ab540feca5b58ab0e72,outputs/cs_30
configs/cs_45.yaml,CS-45,0,30,4320,outputs/replay_inputs/cs_45_seed_manifest.csv,19db480744eea2d84486768bc312ec608fb528bdf2cbc9d8e7549850717c89c5,outputs/cs_45
configs/cs_45_r.yaml,CS-45-R,0,30,4320,outputs/replay_inputs/cs_45_r_seed_manifest.csv,2005f4e8a5c90c8b87d613881490a53efbd13b0528cb415805cce4536d086e79,outputs/cs_45_r
configs/dose_anchor_095_calibrated.yaml,D-A95,0,30,4320,outputs/replay_inputs/dose_anchor_095_calibrated_seed_manifest.csv,aacf9be6b1cf3b9281c6275599f994fa5fdea8d05d541bda15b9e09e980d1aa6,outputs/dose_anchor_095_calibrated
configs/esd_reps30_59.yaml,E-SD,30,30,4320,outputs/replay_inputs/esd_reps30_59_seed_manifest.csv,6a872525e1e1b5055f51eceb910377829f8b441d61c20eed33f4d6e4336132d5,outputs/targeted_extensions/esd_reps30_59
configs/joint_s060_d005.yaml,J-S06-D05,0,30,4320,outputs/replay_inputs/joint_s060_d005_seed_manifest.csv,fe0bdb8753980e6967252d99cd88d76e439ff84f3ac3ef24ce80740ee8a3104d,outputs/joint_s060_d005
configs/joint_s060_d005_reps30_59.yaml,J-S06-D05,30,30,4320,outputs/replay_inputs/joint_s060_d005_reps30_59_seed_manifest.csv,445351aebfd5993c9ea21267b0ee141f5cbe15b8f74681d3156d88568f76bedf,outputs/targeted_extensions/joint_s060_d005_reps30_59
configs/joint_s060_d050.yaml,J-S06-D50,0,30,4320,outputs/replay_inputs/joint_s060_d050_seed_manifest.csv,6f7e0c462ceef1ae92e6ed79122441a33f87dfdaa01d955ffc43474058ce6432,outputs/joint_s060_d050
configs/joint_s060_d095.yaml,J-S06-D95,0,30,4320,outputs/replay_inputs/joint_s060_d095_seed_manifest.csv,7afedd0396ec53ef3cdddc8b4179aba9c5ef9799f7e40a97f8bd2c615e64afc5,outputs/joint_s060_d095
configs/joint_s140_d050.yaml,J-S14-D50,0,30,4320,outputs/replay_inputs/joint_s140_d050_seed_manifest.csv,4b930912c6d125c161345824d50180abfa585cf7dabcaa867c91d9996b24dd60,outputs/joint_s140_d050
configs/joint_s140_d095.yaml,J-S14-D95,0,30,4320,outputs/replay_inputs/joint_s140_d095_seed_manifest.csv,a57c854d2c0c4ec2cc901805ce672b55e6ed97e1eb9d7cf401c307304c1d9899,outputs/joint_s140_d095
