design,outcome,model,r2_in,rmse_in,r2_cv,rmse_cv,increment_M3_minus_M2,increment_M4_minus_M3
C-D1,mean_total_shift,M1 regime,0.00013221257045892276,0.001622795935392305,6.198357683306899e-05,0.0016228529255892532,7.160390781124626e-05,-0.0031419568497412786
C-D1,mean_total_shift,M2 spline(exposure),0.5673607979013378,0.0010674697018748585,0.566440745938748,0.001068604141374294,7.160390781124626e-05,-0.0031419568497412786
C-D1,mean_total_shift,M3 spline + regime,0.5675831692520732,0.0010671953333154468,0.5665123498465593,0.0010685158957755617,7.160390781124626e-05,-0.0031419568497412786
C-D1,mean_total_shift,M4 regime-specific splines,0.5666068971318101,0.0010683993632902965,0.563370392996818,0.0010723812531935977,7.160390781124626e-05,-0.0031419568497412786
C-D1,mean_signed_shift,M1 regime,6.425778177598929e-05,0.0010162573204630038,-0.00012584065009768608,0.001016353916541081,1.918908251552498e-05,-0.0027997781529613963
C-D1,mean_signed_shift,M2 spline(exposure),0.38303824410551424,0.0007982644022293164,0.38160607179140693,0.0007991903830276598,1.918908251552498e-05,-0.0027997781529613963
C-D1,mean_signed_shift,M3 spline + regime,0.3832098277121305,0.000798153391612919,0.38162526087392246,0.0007991779832865913,1.918908251552498e-05,-0.0027997781529613963
C-D1,mean_signed_shift,M4 regime-specific splines,0.38446169615907,0.0007973429940053205,0.37882548272096106,0.0008009851351327506,1.918908251552498e-05,-0.0027997781529613963
C-D1,conversion_rate,M1 regime,0.000292379234439033,0.0025042420179420322,-0.0012561527194785427,0.0025061807839196677,-0.0012872980762852482,-0.0023443241455530783
C-D1,conversion_rate,M2 spline(exposure),0.0879876746846292,0.0023918842032244953,0.08415393130421478,0.0023969062043204072,-0.0012872980762852482,-0.0023443241455530783
C-D1,conversion_rate,M3 spline + regime,0.08823974157401016,0.002391553639448601,0.08286663322792953,0.002398590138645822,-0.0012872980762852482,-0.0023443241455530783
C-D1,conversion_rate,M4 regime-specific splines,0.09051017309017328,0.0023885741044069957,0.08052230908237645,0.002401653751977011,-0.0012872980762852482,-0.0023443241455530783
C-D5,mean_total_shift,M1 regime,0.6597522927824385,0.004512014054402597,0.6597353661298632,0.004512126284908287,0.006102583874383782,0.0034654026975727836
C-D5,mean_total_shift,M2 spline(exposure),0.9176193148047728,0.0022201664728127807,0.9176731215299662,0.0022194413064731047,0.006102583874383782,0.0034654026975727836
C-D5,mean_total_shift,M3 spline + regime,0.924307812448315,0.0021281310511602953,0.92377570540435,0.0021355982044835593,0.006102583874383782,0.0034654026975727836
C-D5,mean_total_shift,M4 regime-specific splines,0.9283137287742741,0.002071051200304223,0.9272411081019227,0.002086487937009359,0.006102583874383782,0.0034654026975727836
C-D5,mean_signed_shift,M1 regime,0.6413656157541341,0.0028001745393074736,0.6412940452425648,0.0028004539323821633,0.0038548075422787376,0.0025376518588784425
C-D5,mean_signed_shift,M2 spline(exposure),0.8550031801961178,0.0017804852419230919,0.8548082534712067,0.0017816816391671652,0.0038548075422787376,0.0025376518588784425
C-D5,mean_signed_shift,M3 spline + regime,0.8593832507024125,0.0017533865334036043,0.8586630610134854,0.0017578709144187093,0.0038548075422787376,0.0025376518588784425
C-D5,mean_signed_shift,M4 regime-specific splines,0.8624063960724316,0.001734435934508571,0.8612007128723639,0.0017420184787011353,0.0038548075422787376,0.0025376518588784425
C-D5,conversion_rate,M1 regime,0.44547378986335484,0.004708921775460002,0.44516567848770117,0.004710229802798022,0.005069735333607772,0.002764350549266381
C-D5,conversion_rate,M2 spline(exposure),0.6056914299056078,0.003970804862722048,0.6038509355251911,0.003980061237491888,0.005069735333607772,0.002764350549266381
C-D5,conversion_rate,M3 spline + regime,0.6108889012208301,0.003944548008427471,0.6089206708587989,0.003954511725861661,0.005069735333607772,0.002764350549266381
C-D5,conversion_rate,M4 regime-specific splines,0.6160580566069241,0.003918259689985688,0.6116850214080652,0.003940510675345811,0.005069735333607772,0.002764350549266381
C-D10,mean_total_shift,M1 regime,0.73818047243118,0.007752309868065932,0.7381730475809001,0.007752419789836388,0.0025731577128518257,0.000784686937360668
C-D10,mean_total_shift,M2 spline(exposure),0.9562738773276906,0.003168112467558618,0.9568491004001213,0.0031472050052641677,0.0025731577128518257,0.000784686937360668
C-D10,mean_total_shift,M3 spline + regime,0.9583233087966894,0.003092977225912418,0.9594222581129731,0.0030519263143314896,0.0025731577128518257,0.000784686937360668
C-D10,mean_total_shift,M4 regime-specific splines,0.9596872857197315,0.0030419433811643957,0.9602069450503338,0.0030222733872796027,0.0025731577128518257,0.000784686937360668
C-D10,mean_signed_shift,M1 regime,0.7307050053057724,0.005108693118448523,0.7306853981687698,0.005108879094839938,0.00174123273365423,0.00044069115836542494
C-D10,mean_signed_shift,M2 spline(exposure),0.9130592923578204,0.0029027341336176986,0.9135939580091822,0.0028937947901048087,0.00174123273365423,0.00044069115836542494
C-D10,mean_signed_shift,M3 spline + regime,0.9144294834834729,0.002879769655865143,0.9153351907428364,0.002864488886569604,0.00174123273365423,0.00044069115836542494
C-D10,mean_signed_shift,M4 regime-specific splines,0.9154158238350969,0.002863124520321484,0.9157758819012018,0.0028570241446923303,0.00174123273365423,0.00044069115836542494
C-D10,conversion_rate,M1 regime,0.631845284456175,0.007049851305125754,0.6314738501660401,0.007053406734768192,0.0019158203308602406,0.0001753043574037605
C-D10,conversion_rate,M2 spline(exposure),0.7983363029369257,0.005217694360137908,0.7985194736507945,0.0052153242113831995,0.0019158203308602406,0.0001753043574037605
C-D10,conversion_rate,M3 spline + regime,0.7998017585617225,0.005198701746567341,0.8004352939816547,0.005190469477757938,0.0019158203308602406,0.0001753043574037605
C-D10,conversion_rate,M4 regime-specific splines,0.8009981560342934,0.005183144582311264,0.8006105983390585,0.0051881892353074785,0.0019158203308602406,0.0001753043574037605
C-D50,mean_total_shift,M1 regime,0.8243989909264253,0.024308654487932,0.8243981556942543,0.024308712298949788,0.0013059410773025304,0.00020212029177335555
C-D50,mean_total_shift,M2 spline(exposure),0.979562093998535,0.008293075436923047,0.9795112019819046,0.008303394227024571,0.0013059410773025304,0.00020212029177335555
C-D50,mean_total_shift,M3 spline + regime,0.9808656888388566,0.008024238588403777,0.9808171430592071,0.008034411312942588,0.0013059410773025304,0.00020212029177335555
C-D50,mean_total_shift,M4 regime-specific splines,0.9810583831323609,0.007983731836997052,0.9810192633509804,0.007991971913712205,0.0013059410773025304,0.00020212029177335555
C-D50,mean_signed_shift,M1 regime,0.8219874030106629,0.020066315603080656,0.8219848028996912,0.020066462150172614,0.0007661743195898074,8.886534041951943e-05
C-D50,mean_signed_shift,M2 spline(exposure),0.959427897552863,0.009579790844466259,0.9593449046560567,0.00958958388421877,0.0007661743195898074,8.886534041951943e-05
C-D50,mean_signed_shift,M3 spline + regime,0.960198017985816,0.009488435726295418,0.9601110789756465,0.009498792814014239,0.0007661743195898074,8.886534041951943e-05
C-D50,mean_signed_shift,M4 regime-specific splines,0.9602864126084307,0.009477893627080963,0.960199944316066,0.009488206113585237,0.0007661743195898074,8.886534041951943e-05
C-D50,conversion_rate,M1 regime,0.7403738295301407,0.032903693134237674,0.7403619221676334,0.03290444766470178,0.0006671748331614769,8.411195903545998e-05
C-D50,conversion_rate,M2 spline(exposure),0.9254449422003221,0.01763230006791029,0.9253155896730376,0.017647589400482392,0.0006671748331614769,8.411195903545998e-05
C-D50,conversion_rate,M3 spline + regime,0.9261656934718858,0.017546864103640526,0.9259827645061991,0.017568587366000234,0.0006671748331614769,8.411195903545998e-05
C-D50,conversion_rate,M4 regime-specific splines,0.9262542887276984,0.017536333527769742,0.9260668764652346,0.01755860220277326,0.0006671748331614769,8.411195903545998e-05
E-S,mean_total_shift,M1 regime,0.9795135111650328,0.00784868142083648,0.9795112517478771,0.007849114217219358,-1.5902916344012752e-05,9.025982169452718e-07
E-S,mean_total_shift,M2 spline(exposure),0.9822012780688978,0.007315724543302746,0.9821715417400351,0.007321833184287062,-1.5902916344012752e-05,9.025982169452718e-07
E-S,mean_total_shift,M3 spline + regime,0.9822416099936746,0.007307431122213841,0.9821556388236911,0.007325097979952983,-1.5902916344012752e-05,9.025982169452718e-07
