design,replications,lo95,median,hi95,interval_width,bootstrap_draws,splits_per_draw,denominator
E-SD,30,-4.4227534504841564e-08,3.6768086105140806e-08,1.3134799896561649e-07,1.7557553347045804e-07,500,20,C-D50 B at native R=30
J-S06-D05,30,-2.2528207299597497e-08,-6.779127125041948e-09,7.985164492086689e-09,3.051337179168419e-08,500,20,C-D50 B at native R=30
J-S18-D05,30,1.6141701629488652e-08,1.611862481708707e-07,3.1194624364591176e-07,2.958045420164231e-07,500,20,C-D50 B at native R=30
E-SD,40,-2.5642322880357638e-08,3.6246217754782866e-08,1.001569939682638e-07,1.2579931684862143e-07,500,20,C-D50 B at native R=30
J-S06-D05,40,-1.814784698811221e-08,-5.655004777124229e-09,4.498289118123883e-09,2.2646136106236093e-08,500,20,C-D50 B at native R=30
J-S18-D05,40,-2.1204144991302284e-08,8.95331798101441e-08,1.8587546479098036e-07,2.0707960978228264e-07,500,20,C-D50 B at native R=30
E-SD,50,2.0751472891061286e-08,6.71529217080836e-08,1.2880320308226785e-07,1.0805173019120656e-07,500,20,C-D50 B at native R=30
J-S06-D05,50,-1.4355424201250773e-08,-5.290856318147312e-09,4.082714356821156e-09,1.843813855807193e-08,500,20,C-D50 B at native R=30
J-S18-D05,50,3.646066412813536e-08,1.1550550369096644e-07,2.1014750110335565e-07,1.736868369752203e-07,500,20,C-D50 B at native R=30
E-SD,60,-1.6803487592476407e-08,2.6720526822907622e-08,6.426735986007207e-08,8.107084745254847e-08,500,20,C-D50 B at native R=30
J-S06-D05,60,-1.7476561285430347e-08,-8.848828138205112e-09,-8.748543618366785e-10,1.660170692359367e-08,500,20,C-D50 B at native R=30
J-S18-D05,60,-4.413665294470274e-09,6.512126189904668e-08,1.3586941316498354e-07,1.402830784594538e-07,500,20,C-D50 B at native R=30
