design,replications,point,point_splits,lo95,median,hi95,interval_width,bootstrap_draws,splits_per_draw,denominator
E-SD,30,2.357680782802987e-08,100,-4.422753450484157e-08,3.6768086105140806e-08,1.3134799896561649e-07,1.7557553347045804e-07,500,20,C-D50 B at native R=30
J-S06-D05,30,-5.223272160794905e-09,100,-2.2528207299597497e-08,-6.779127125041948e-09,7.985164492086689e-09,3.0513371791684194e-08,500,20,C-D50 B at native R=30
J-S18-D05,30,1.7616522271240937e-07,100,1.6141701629488652e-08,1.611862481708707e-07,3.1194624364591176e-07,2.958045420164231e-07,500,20,C-D50 B at native R=30
E-SD,40,4.338220603685676e-08,100,-2.564232288035764e-08,3.624621775478287e-08,1.001569939682638e-07,1.2579931684862146e-07,500,20,C-D50 B at native R=30
J-S06-D05,40,-6.756933186264862e-09,100,-1.8147846988112213e-08,-5.655004777124229e-09,4.498289118123883e-09,2.2646136106236093e-08,500,20,C-D50 B at native R=30
J-S18-D05,40,7.692089368483012e-08,100,-2.1204144991302284e-08,8.95331798101441e-08,1.8587546479098041e-07,2.0707960978228266e-07,500,20,C-D50 B at native R=30
E-SD,50,7.110816858444191e-08,100,2.075147289106129e-08,6.71529217080836e-08,1.2880320308226785e-07,1.0805173019120656e-07,500,20,C-D50 B at native R=30
J-S06-D05,50,-1.5566017528073421e-09,100,-1.4355424201250773e-08,-5.290856318147312e-09,4.082714356821156e-09,1.8438138558071933e-08,500,20,C-D50 B at native R=30
J-S18-D05,50,1.318951841019468e-07,100,3.646066412813536e-08,1.1550550369096645e-07,2.1014750110335565e-07,1.736868369752203e-07,500,20,C-D50 B at native R=30
E-SD,60,2.580125429528492e-08,100,-2.0994716420229204e-08,2.138414628522738e-08,6.500458633292967e-08,8.599930275315888e-08,1000,20,C-D50 B at native R=30
J-S06-D05,60,-7.352566067820088e-09,100,-1.6402089880136327e-08,-8.4336103887242e-09,-3.189647914505493e-10,1.6083125088685778e-08,1000,20,C-D50 B at native R=30
J-S18-D05,60,7.310525562205393e-08,100,1.924364585948831e-09,7.341001814962357e-08,1.449699013963476e-07,1.4304553681039875e-07,1000,20,C-D50 B at native R=30
