design,outcome,tau,omega,ss_sys,ss_mc,factor,allocation,p_sys,q_sys,rho,factor_ss
C-D1,mean_total_shift,0.0007140595665477367,0.0570490831804594,0.01036772837197347,0.0010103518723019076,topology,main,0.00012612924908397347,9.006379692989362e-08,0.0004806560035262959,1.3076737942636206e-06
C-D1,mean_total_shift,0.0007140595665477367,0.0570490831804594,0.01036772837197347,0.0010103518723019076,topology,shapley,0.000998249024688613,7.12809265875852e-07,0.0019311967829180813,1.0349574735558979e-05
C-D1,mean_total_shift,0.0007140595665477367,0.0570490831804594,0.01036772837197347,0.0010103518723019076,message_condition,main,0.9960913969384002,0.0007112685911397637,0.008727386898986854,0.01032720503711694
C-D1,mean_total_shift,0.0007140595665477367,0.0570490831804594,0.01036772837197347,0.0010103518723019076,message_condition,shapley,0.9968974042944058,0.0007118441284030272,0.00557726219155257,0.010335561502449818
C-D1,mean_total_shift,0.0007140595665477367,0.0570490831804594,0.01036772837197347,0.0010103518723019076,inoculation,main,0.0005324878662025177,3.8022805493249904e-07,0.0027863885314171975,5.5206895581594564e-06
C-D1,mean_total_shift,0.0007140595665477367,0.0570490831804594,0.01036772837197347,0.0010103518723019076,inoculation,shapley,0.0012580841989351071,8.983470577721592e-07,0.0033982722601414617,1.3043475243631026e-05
C-D1,mean_total_shift,0.0007140595665477367,0.0570490831804594,0.01036772837197347,0.0010103518723019076,seeding_regime,main,0.0001450968989549923,1.0360782877522256e-07,1.2552369309869949e-07,1.5043252359810415e-06
C-D1,mean_total_shift,0.0007140595665477367,0.0570490831804594,0.01036772837197347,0.0010103518723019076,seeding_regime,shapley,0.0008462624819706876,6.042818210616011e-07,6.931957619143185e-07,8.773819544464185e-06
C-D5,mean_total_shift,0.017629236309321828,0.14202249021334468,0.2559662275012204,0.0025152496919561653,topology,main,0.00024439820629265494,4.308553732307599e-06,0.022994058528992587,6.255768687279591e-05
C-D5,mean_total_shift,0.017629236309321828,0.14202249021334468,0.2559662275012204,0.0025152496919561653,topology,shapley,0.00040401476040215456,7.122471683583622e-06,0.01929673905804344,0.00010341413407494893
C-D5,mean_total_shift,0.017629236309321828,0.14202249021334468,0.2559662275012204,0.0025152496919561653,message_condition,main,0.2466523860492884,0.00434829319992098,0.05335429903509825,0.063134680761211
C-D5,mean_total_shift,0.017629236309321828,0.14202249021334468,0.2559662275012204,0.0025152496919561653,message_condition,shapley,0.2898148662838226,0.005109214763672015,0.0400304353059393,0.07418281799644069
C-D5,mean_total_shift,0.017629236309321828,0.14202249021334468,0.2559662275012204,0.0025152496919561653,inoculation,main,0.00019936611983897932,3.5146724387139414e-06,0.025756234575218837,5.103099358673975e-05
