design,rows,unique_cells,duplicate_keys,replications_min,replications_max,seed_mismatches,direct_event_mismatches,time_array_length_errors,pass
C-D1,4320,144,0,30,30,0,0,0,True
C-D5,4320,144,0,30,30,0,0,0,True
C-D10,4320,144,0,30,30,0,0,0,True
C-D50,4320,144,0,30,30,0,0,0,True
E-S,4320,144,0,30,30,0,0,0,True
E-SD,4320,144,0,30,30,0,0,0,True
CS-0,4320,144,0,30,30,0,0,0,True
CS-15,4320,144,0,30,30,0,0,0,True
CS-30,4320,144,0,30,30,0,0,0,True
CS-45,4320,144,0,30,30,0,0,0,True
CS-45-R,4320,144,0,30,30,0,0,0,True
D-A95,4320,144,0,30,30,0,0,0,True
S-A06,4320,144,0,30,30,0,0,0,True
S-A18,4320,144,0,30,30,0,0,0,True
J-S06-D05,4320,144,0,30,30,0,0,0,True
J-S06-D50,4320,144,0,30,30,0,0,0,True
J-S06-D95,4320,144,0,30,30,0,0,0,True
J-S14-D50,4320,144,0,30,30,0,0,0,True
J-S14-D95,4320,144,0,30,30,0,0,0,True
J-S18-D05,4320,144,0,30,30,0,0,0,True
J-S18-D50,4320,144,0,30,30,0,0,0,True
J-S18-D95,4320,144,0,30,30,0,0,0,True
NC-NoOp,4320,144,0,30,30,0,0,0,True
PC-M01,4320,144,0,30,30,0,0,0,True
PC-M05,4320,144,0,30,30,0,0,0,True
