design,outcome,contrast,estimate,bootstrap_median,lo95,hi95
E-S,mean_total_shift,labeled vs mean unlabeled,-0.01091747188844449,-0.010916114958051972,-0.011049879604155223,-0.01077880401526794
E-S,mean_total_shift,high-quality vs low-quality (unlabeled),-5.5831926006832955e-05,-5.7273391697781895e-05,-0.00027425934653440323,0.00016060603978381577
E-S,mean_total_shift,high-quality vs human-equivalent,3.2051455158832454e-06,4.986855441344723e-06,-0.00016960208675459147,0.00019144198186657487
E-S,mean_total_shift,low-quality vs human-equivalent,5.90370715227162e-05,5.983559880599204e-05,-0.00010684155103772228,0.0002307345095871171
E-S,mean_signed_shift,labeled vs mean unlabeled,-0.013933656773732265,-0.013931916200834388,-0.014074688900631892,-0.013801495782803853
E-S,mean_signed_shift,high-quality vs low-quality (unlabeled),-0.0001494856323370139,-0.00015516833319983298,-0.0004036132432309276,7.730129804966248e-05
E-S,mean_signed_shift,high-quality vs human-equivalent,-3.8212872804276043e-05,-4.40686346848268e-05,-0.00021429490927663241,0.00014336849714594
E-S,mean_signed_shift,low-quality vs human-equivalent,0.00011127275953273785,0.0001081515619976714,-5.4727675652304314e-05,0.00028686323100747866
E-S,conversion_rate,labeled vs mean unlabeled,-0.01794953652600769,-0.017943591975312135,-0.01847865726880506,-0.017481204524414325
E-S,conversion_rate,high-quality vs low-quality (unlabeled),-0.00011150948208309142,-0.00011603140492589398,-0.0006884562699055235,0.00046770426204426925
E-S,conversion_rate,high-quality vs human-equivalent,-4.126359819407038e-05,-1.8447328435120675e-05,-0.0006889567235267193,0.0006371287364139975
E-S,conversion_rate,low-quality vs human-equivalent,7.024588388902103e-05,9.672467161286544e-05,-0.0005785578394285893,0.000719549271159935
E-SD,mean_total_shift,labeled vs mean unlabeled,-0.0005696908390098029,-0.0005702118548594293,-0.0005983476156658118,-0.0005437264560846519
E-SD,mean_total_shift,high-quality vs low-quality (unlabeled),3.096089052023569e-05,2.9411877658908677e-05,-9.27723603763714e-06,7.174213865329881e-05
E-SD,mean_total_shift,high-quality vs human-equivalent,1.269305797275272e-05,1.2431152604137907e-05,-3.628764619076558e-05,6.140588369907998e-05
E-SD,mean_total_shift,low-quality vs human-equivalent,-1.8267832547482973e-05,-1.756161140027213e-05,-5.870322980921043e-05,2.5103203103539426e-05
E-SD,mean_signed_shift,labeled vs mean unlabeled,-0.0009442236285590391,-0.000943836551512052,-0.0009754499706723572,-0.0009155608094916752
E-SD,mean_signed_shift,high-quality vs low-quality (unlabeled),4.1291496022533535e-05,4.0464696748858517e-05,-5.047937051090188e-06,9.201619752524286e-05
E-SD,mean_signed_shift,high-quality vs human-equivalent,1.9957354185314025e-05,1.896440893882031e-05,-3.0707895615631357e-05,7.429055761358123e-05
E-SD,mean_signed_shift,low-quality vs human-equivalent,-2.133414183721951e-05,-1.9927468153678246e-05,-7.045106501812926e-05,2.978674879756466e-05
E-SD,conversion_rate,labeled vs mean unlabeled,-0.0006017424816022951,-0.0005976434974606015,-0.000794659427180257,-0.0004185900008445695
E-SD,conversion_rate,high-quality vs low-quality (unlabeled),-3.21071706163396e-05,-2.9320809556900897e-05,-0.0002278498701415771,0.00014905204809746408
E-SD,conversion_rate,high-quality vs human-equivalent,8.661754130378889e-06,9.29632845754545e-06,-0.00022171795000417707,0.00023416672645587102
