design,outcome,metric,point,lo95,median,hi95
CS-0,mean_total_shift,B_factor,8.107603878346302e-07,7.940196956017616e-07,8.095660290186103e-07,8.265442525756265e-07
CS-0,mean_total_shift,q,0.0002412376087246,0.0002362101322851,0.0002408793838053,0.0002459703645885
CS-0,mean_total_shift,multiple_CS0,1.0,1.0,1.0,1.0
PC-M01,mean_total_shift,B_factor,6.953035903984598e-06,6.910910912413645e-06,6.9526252048668346e-06,6.9942865692089605e-06
PC-M01,mean_total_shift,q,0.002068840288724,0.0020569158972196,0.0020688240742831,0.0020804862179109
PC-M01,mean_total_shift,multiple_CS0,8.575944271962632,8.399654416371664,8.586674928020305,8.775825040354826
PC-M05,mean_total_shift,B_factor,2.319379296325199e-05,2.315864701864513e-05,2.3194139828065967e-05,2.3227423109384744e-05
PC-M05,mean_total_shift,q,0.0069011945275879,0.0068905210349189,0.0069010633403137,0.0069113367224962
PC-M05,mean_total_shift,multiple_CS0,28.60745703819807,28.04049771530337,28.65235953348529,29.243242496039983
CS-0,mean_signed_shift,B_factor,1.1808842556074817e-07,1.0890231229219165e-07,1.1724938020212609e-07,1.255404543453785e-07
CS-0,mean_signed_shift,q,5.233392093933667e-05,4.82740269424179e-05,5.19581182328566e-05,5.56616623745237e-05
CS-0,mean_signed_shift,multiple_CS0,1.0,1.0,1.0,1.0
PC-M01,mean_signed_shift,B_factor,2.991506739412533e-06,2.960115392745984e-06,2.991172431143128e-06,3.02283053325766e-06
PC-M01,mean_signed_shift,q,0.0013257631003757,0.0013122600147226,0.0013254555429018,0.0013388432417696
PC-M01,mean_signed_shift,multiple_CS0,25.33276843354655,23.69408753902144,25.51997583020176,27.605352219973657
PC-M05,mean_signed_shift,B_factor,8.452401854580053e-06,8.432573087800446e-06,8.452861324389492e-06,8.473742495338752e-06
PC-M05,mean_signed_shift,q,0.0037458991285944,0.0037378761475057,0.0037460370235012,0.0037538207017666
PC-M05,mean_signed_shift,multiple_CS0,71.57688667998956,67.23103353805607,72.0990332598551,77.67977711209556
CS-0,conversion_rate,B_factor,1.4257512644096368e-07,5.3513253766479123e-08,1.272428929088947e-07,2.010206525647373e-07
CS-0,conversion_rate,q,3.477428996777206e-05,1.3050787944634953e-05,3.1056704883412255e-05,4.90897500557584e-05
CS-0,conversion_rate,multiple_CS0,1.0,1.0,1.0,1.0
PC-M01,conversion_rate,B_factor,3.2204122189909614e-06,3.035896164925584e-06,3.2031536421600853e-06,3.3829618638420163e-06
PC-M01,conversion_rate,q,0.0007854634333101,0.0007412544563504,0.0007812854215953,0.0008238550324131
PC-M01,conversion_rate,multiple_CS0,22.587475805777686,15.718481130672942,25.187262254881055,59.005727455649435
PC-M05,conversion_rate,B_factor,1.065229042076104e-05,1.0523530324146338e-05,1.0648975718560435e-05,1.0777339434094756e-05
PC-M05,conversion_rate,q,0.0025981098187266,0.0025677199957441,0.0025965918729237,0.0026284172339631
PC-M05,conversion_rate,multiple_CS0,74.71352603128746,53.198367165261324,83.53019501786335,198.26541657967798
