design,outcome,factor,metric,point,lo95,median,hi95,replications_design,replications_benchmark,point_splits,bootstrap_draws,splits_per_bootstrap,denominator
C-D1,mean_total_shift,topology,B_total,2.3917393840097447e-06,2.3837124518542604e-06,2.391748626584752e-06,2.399373717690039e-06,30,30,100,1000,20,C-D50 repeated-cross-fit B at native R=30
C-D1,mean_total_shift,topology,B_factor,2.7811877125394084e-10,-2.056645943899621e-10,1.8361608843180823e-10,5.888469500399524e-10,30,30,100,1000,20,C-D50 repeated-cross-fit B at native R=30
C-D1,mean_total_shift,topology,q,8.275281861997208e-08,-6.121578659886606e-08,5.4630034078987686e-08,1.7506242447633222e-07,30,30,100,1000,20,C-D50 repeated-cross-fit B at native R=30
C-D1,mean_total_shift,topology,rho,0.0002308833519627,-0.0001714817896454101,0.0001511118370690133,0.000486439610781438,30,30,100,1000,20,C-D50 repeated-cross-fit B at native R=30
C-D1,mean_total_shift,topology,tau,0.0007116498269384,0.0007092295078001266,0.0007116226439308789,0.0007140098921466658,30,30,100,1000,20,C-D50 repeated-cross-fit B at native R=30
C-D1,mean_total_shift,message_condition,B_total,2.3917393840097447e-06,2.3837124518542604e-06,2.391748626584752e-06,2.399373717690039e-06,30,30,100,1000,20,C-D50 repeated-cross-fit B at native R=30
C-D1,mean_total_shift,message_condition,B_factor,2.390200727012959e-06,2.38231035156654e-06,2.390305882325455e-06,2.3980350488235848e-06,30,30,100,1000,20,C-D50 repeated-cross-fit B at native R=30
C-D1,mean_total_shift,message_condition,q,0.0007111920074148,0.0007088466780081965,0.0007112095683639234,0.0007135740006651664,30,30,100,1000,20,C-D50 repeated-cross-fit B at native R=30
C-D1,mean_total_shift,message_condition,rho,0.0055724397887628,0.005552857468493948,0.005572614350655388,0.00559180640644016,30,30,100,1000,20,C-D50 repeated-cross-fit B at native R=30
C-D1,mean_total_shift,message_condition,tau,0.0007116498269384,0.0007092295078001266,0.0007116226439308789,0.0007140098921466658,30,30,100,1000,20,C-D50 repeated-cross-fit B at native R=30
C-D1,mean_total_shift,inoculation,B_total,2.3917393840097447e-06,2.3837124518542604e-06,2.391748626584752e-06,2.399373717690039e-06,30,30,100,1000,20,C-D50 repeated-cross-fit B at native R=30
C-D1,mean_total_shift,inoculation,B_factor,1.063352275555769e-09,6.660431570181377e-10,1.0809667951844895e-09,1.5160674154501344e-09,30,30,100,1000,20,C-D50 repeated-cross-fit B at native R=30
C-D1,mean_total_shift,inoculation,q,3.16395033645016e-07,1.982547720997093e-07,3.2171349957186654e-07,4.5106817033969225e-07,30,30,100,1000,20,C-D50 repeated-cross-fit B at native R=30
C-D1,mean_total_shift,inoculation,rho,0.0012394927889514,0.0007839081600332428,0.001262500874472747,0.001760356040839813,30,30,100,1000,20,C-D50 repeated-cross-fit B at native R=30
C-D1,mean_total_shift,inoculation,tau,0.0007116498269384,0.0007092295078001266,0.0007116226439308789,0.0007140098921466658,30,30,100,1000,20,C-D50 repeated-cross-fit B at native R=30
C-D1,mean_total_shift,seeding_regime,B_total,2.3917393840097447e-06,2.3837124518542604e-06,2.391748626584752e-06,2.399373717690039e-06,30,30,100,1000,20,C-D50 repeated-cross-fit B at native R=30
C-D1,mean_total_shift,seeding_regime,B_factor,1.9718594997613702e-10,-1.6238515843037657e-10,1.7996610463056673e-10,4.904119860745891e-10,30,30,100,1000,20,C-D50 repeated-cross-fit B at native R=30
C-D1,mean_total_shift,seeding_regime,q,5.8671671384176434e-08,-4.834324814102544e-08,5.358130795022731e-08,1.4592093670986484e-07,30,30,100,1000,20,C-D50 repeated-cross-fit B at native R=30
C-D1,mean_total_shift,seeding_regime,rho,6.730257849231509e-08,-5.544590329757447e-08,6.146049538563785e-08,1.6738302128170387e-07,30,30,100,1000,20,C-D50 repeated-cross-fit B at native R=30
C-D1,mean_total_shift,seeding_regime,tau,0.0007116498269384,0.0007092295078001266,0.0007116226439308789,0.0007140098921466658,30,30,100,1000,20,C-D50 repeated-cross-fit B at native R=30
C-D10,mean_total_shift,topology,B_total,0.0002285340056288,0.0002282453691320628,0.0002285317422270772,0.00022882688011427576,30,30,100,1000,20,C-D50 repeated-cross-fit B at native R=30
C-D10,mean_total_shift,topology,B_factor,1.0591784357314025e-07,1.0038614966891738e-07,1.0506242255286128e-07,1.1005678549652844e-07,30,30,100,1000,20,C-D50 repeated-cross-fit B at native R=30
C-D10,mean_total_shift,topology,q,3.1515312894229724e-05,2.988079750125729e-05,3.125972573699404e-05,3.274045827481332e-05,30,30,100,1000,20,C-D50 repeated-cross-fit B at native R=30
C-D10,mean_total_shift,topology,rho,0.0879288609200028,0.08364553997601334,0.08733162554016333,0.09100121514372406,30,30,100,1000,20,C-D50 repeated-cross-fit B at native R=30
C-D10,mean_total_shift,topology,tau,0.0679991250897385,0.06791595879695603,0.06799808139124636,0.06807615434965171,30,30,100,1000,20,C-D50 repeated-cross-fit B at native R=30
C-D10,mean_total_shift,message_condition,B_total,0.0002285340056288,0.0002282453691320628,0.0002285317422270772,0.00022882688011427576,30,30,100,1000,20,C-D50 repeated-cross-fit B at native R=30
C-D10,mean_total_shift,message_condition,B_factor,4.821557384074725e-05,4.8116087194325285e-05,4.821135599444588e-05,4.832031306261109e-05,30,30,100,1000,20,C-D50 repeated-cross-fit B at native R=30
C-D10,mean_total_shift,message_condition,q,0.0143462975142304,0.014320587213199586,0.014345441652593102,0.014373070283230753,30,30,100,1000,20,C-D50 repeated-cross-fit B at native R=30
C-D10,mean_total_shift,message_condition,rho,0.1124082923545848,0.11221175117684595,0.1124046561017252,0.11258662034966697,30,30,100,1000,20,C-D50 repeated-cross-fit B at native R=30
C-D10,mean_total_shift,message_condition,tau,0.0679991250897385,0.06791595879695603,0.06799808139124636,0.06807615434965171,30,30,100,1000,20,C-D50 repeated-cross-fit B at native R=30
C-D10,mean_total_shift,inoculation,B_total,0.0002285340056288,0.0002282453691320628,0.0002285317422270772,0.00022882688011427576,30,30,100,1000,20,C-D50 repeated-cross-fit B at native R=30
C-D10,mean_total_shift,inoculation,B_factor,5.6369446636798056e-08,5.2426139866926294e-08,5.6547824252908005e-08,6.04848561101588e-08,30,30,100,1000,20,C-D50 repeated-cross-fit B at native R=30
C-D10,mean_total_shift,inoculation,q,1.6772440681409226e-05,1.5591303711612294e-05,1.6826496205639367e-05,1.8001479874151743e-05,30,30,100,1000,20,C-D50 repeated-cross-fit B at native R=30
C-D10,mean_total_shift,inoculation,rho,0.0657068445045418,0.06093775655015647,0.06593047482569736,0.07118982318802981,30,30,100,1000,20,C-D50 repeated-cross-fit B at native R=30
C-D10,mean_total_shift,inoculation,tau,0.0679991250897385,0.06791595879695603,0.06799808139124636,0.06807615434965171,30,30,100,1000,20,C-D50 repeated-cross-fit B at native R=30
