design,replications,point,split_sd,lo_split,hi_split,splits
CS-0,10,0.00026608864697197197,2.5003042826954366e-06,0.0002610002630049487,0.0002693578659859862,100
E-SD,10,-2.2895218225294844e-07,2.669070295592499e-07,-7.84137847424676e-07,2.5448403383886496e-07,100
J-S06-D05,10,-4.2587835544050156e-08,5.526257352613484e-08,-1.7459819283733058e-07,3.694085888349066e-08,100
J-S18-D05,10,-3.946377826929588e-07,5.051123633706979e-07,-1.4263740737469485e-06,4.3048164446900353e-07,100
CS-0,15,0.0002559107351081753,2.095079141580922e-06,0.00025148914324552707,0.0002591943965126507,100
E-SD,15,-1.1751334696360885e-07,1.610919002334417e-07,-4.540463607870116e-07,1.4570828812817624e-07,100
J-S06-D05,15,-5.4499546465581426e-08,3.7307924864432534e-08,-1.2288555801079177e-07,7.787449262229942e-09,100
J-S18-D05,15,-1.9083086657886172e-07,2.662623514915351e-07,-6.618334412196482e-07,2.476145153499456e-07,100
CS-0,20,0.00024995974031263277,1.2275072060021061e-06,0.0002471230079018996,0.00025217803541115197,100
E-SD,20,1.0184602393508992e-07,1.1746752492802752e-07,-1.3962018406673752e-07,3.26773304364811e-07,100
J-S06-D05,20,6.167452210939402e-09,2.7301778742529652e-08,-4.747075657443044e-08,5.645529084950298e-08,100
J-S18-D05,20,1.9725384870174086e-07,2.0354416904774835e-07,-2.274371257579375e-07,5.295793177363113e-07,100
CS-0,25,0.00023945476919316766,1.0824527748540477e-06,0.00023698483985726607,0.00024118825382770124,100
E-SD,25,1.0413083290068954e-08,8.627628726571202e-08,-1.658572623793546e-07,1.4726491848022833e-07,100
J-S06-D05,25,-4.570495405838941e-09,1.941357452640742e-08,-3.82219288601465e-08,2.954464953393528e-08,100
J-S18-D05,25,1.0415075180248289e-07,1.5536693527878784e-07,-2.333872334106036e-07,3.5537684339598677e-07,100
CS-0,30,0.00024125664311693627,7.814579640980371e-07,0.00023995034100632933,0.00024246668537563439,100
E-SD,30,2.6523339716810324e-08,8.317584512429361e-08,-1.6832918479902791e-07,1.4658240617874465e-07,100
J-S06-D05,30,-3.2135912188017064e-09,1.605213297046882e-08,-3.576420297005906e-08,2.3467925854733587e-08,100
J-S18-D05,30,1.8614334828233145e-07,1.4121922907243667e-07,-1.0308499643147979e-07,4.006859595011158e-07,100
