design,outcome,factor,replications,splits,mean_B_total,mean_B_factor,split_sd_B_factor,split_q025_B_factor,split_q975_B_factor,positive_frequency,sign_stability,factor_ranking_agreement,q_point,rho_point,tau_point
C-D1,mean_total_shift,topology,30,100,2.3917393840097447e-06,2.7811877125394084e-10,3.4747155711938204e-10,-5.562715485341388e-10,7.894138034798072e-10,0.84,0.84,0.62,8.275281861997207e-08,0.00023088335196272183,0.0007116498269384528
C-D1,mean_total_shift,message_condition,30,100,2.3917393840097447e-06,2.390200727012959e-06,3.5351895893345886e-10,2.389547675722766e-06,2.390833708902552e-06,1.0,1.0,0.62,0.0007111920074148036,0.005572439788762864,0.0007116498269384528
C-D1,mean_total_shift,inoculation,30,100,2.3917393840097447e-06,1.063352275555769e-09,3.7502536860092207e-10,1.402588141078225e-10,1.6025543787590606e-09,0.99,0.99,0.62,3.1639503364501594e-07,0.0012394927889514307,0.0007116498269384528
C-D1,mean_total_shift,seeding_regime,30,100,2.3917393840097447e-06,1.9718594997613702e-10,3.3135398947153203e-10,-5.419788709988049e-10,7.384243289082113e-10,0.77,0.77,0.62,5.8671671384176434e-08,6.730257849231508e-08,0.0007116498269384528
C-D10,mean_total_shift,topology,30,100,0.0002285340056288644,1.0591784357314023e-07,2.0206106049081828e-09,1.0162516546788818e-07,1.0942253253073373e-07,1.0,1.0,1.0,3.1515312894229724e-05,0.08792886092000285,0.0679991250897385
C-D10,mean_total_shift,message_condition,30,100,0.0002285340056288644,4.8215573840747244e-05,2.357135402446614e-09,4.8210238655186265e-05,4.8219254000358846e-05,1.0,1.0,1.0,0.014346297514230407,0.11240829235458481,0.0679991250897385
C-D10,mean_total_shift,inoculation,30,100,0.0002285340056288644,5.636944663679805e-08,1.5749508543203487e-09,5.290674911000647e-08,5.888931291428033e-08,1.0,1.0,1.0,1.6772440681409226e-05,0.06570684450454185,0.0679991250897385
C-D10,mean_total_shift,seeding_regime,30,100,0.0002285340056288644,0.00018015614449790718,1.6476373426115523e-09,0.00018015298267630615,0.0001801586620069731,1.0,1.0,1.0,0.053604539821932445,0.06149004560117286,0.0679991250897385
C-D5,mean_total_shift,topology,30,100,5.92318023093664e-05,1.8785983824168532e-08,7.99467152761905e-10,1.7501541633386187e-08,2.0118543616032213e-08,1.0,1.0,1.0,5.5896734513460845e-06,0.015595390759443547,0.017624119979178093
C-D5,mean_total_shift,message_condition,30,100,5.92318023093664e-05,1.7166630873886532e-05,1.029588735189255e-09,1.7164512141182202e-05,1.716814280249443e-05,1.0,1.0,1.0,0.005107843259258667,0.040021750407630806,0.017624119979178093
