design,outcome,tau,omega,ss_sys,ss_mc,factor,allocation,p_sys,q_sys,rho,factor_ss
C-D50,mean_total_shift,1.0,1.0,14.519416667293346,0.0177102210232885,topology,main,0.0001873768272301,0.0001873768272301,1.0,0.0027206022283503
C-D50,mean_total_shift,1.0,1.0,14.519416667293346,0.0177102210232885,topology,shapley,0.0003691023474048,0.0003691023474048,1.0,0.0053591507748477
C-D50,mean_total_shift,1.0,1.0,14.519416667293346,0.0177102210232885,message_condition,main,0.0814984598909363,0.0814984598909363,1.0,1.1833100968992
C-D50,mean_total_shift,1.0,1.0,14.519416667293346,0.0177102210232885,message_condition,shapley,0.1276332551625778,0.1276332551625778,1.0,1.853160412308437
C-D50,mean_total_shift,1.0,1.0,14.519416667293346,0.0177102210232885,inoculation,main,0.0001364590941447,0.0001364590941447,1.0,0.0019813064459289
C-D50,mean_total_shift,1.0,1.0,14.519416667293346,0.0177102210232885,inoculation,shapley,0.0002643540567096,0.0002643540567096,1.0,0.0038382666970562
C-D50,mean_total_shift,1.0,1.0,14.519416667293346,0.0177102210232885,seeding_regime,main,0.8254045608246687,0.8254045608246687,1.0,11.98439273769764
C-D50,mean_total_shift,1.0,1.0,14.519416667293346,0.0177102210232885,seeding_regime,shapley,0.8717332884333078,0.8717332884333078,1.0,12.657058837513006
E-S,mean_total_shift,0.893445345314025,0.9999160164239238,12.972305238068111,0.0177087336555938,topology,main,0.0002086691555963,0.0001864344857781,0.9949708751825616,0.0027069199801653
E-S,mean_total_shift,0.893445345314025,0.9999160164239238,12.972305238068111,0.0177087336555938,topology,shapley,0.0003916986267332,0.0003499613148206,0.9481416666169076,0.0050812341473154
E-S,mean_total_shift,0.893445345314025,0.9999160164239238,12.972305238068111,0.0177087336555938,message_condition,main,0.0074425666623993,0.00664952654171,0.0815908245457477,0.0965472464993143
E-S,mean_total_shift,0.893445345314025,0.9999160164239238,12.972305238068111,0.0177087336555938,message_condition,shapley,0.0128179000976894,0.0114520931789808,0.0897265619715902,0.1662777125782907
E-S,mean_total_shift,0.893445345314025,0.9999160164239238,12.972305238068111,0.0177087336555938,inoculation,main,0.0001695356310315,0.00015147082041,1.1100089837130676,0.0021992679544697
E-S,mean_total_shift,0.893445345314025,0.9999160164239238,12.972305238068111,0.0177087336555938,inoculation,shapley,0.0003175652451573,0.0002837271901193,1.073284797104425,0.0041195532931826
E-S,mean_total_shift,0.893445345314025,0.9999160164239238,12.972305238068111,0.0177087336555938,seeding_regime,main,0.9808506631640758,0.876336459452118,1.0617053758178447,12.723894195525922
E-S,mean_total_shift,0.893445345314025,0.9999160164239238,12.972305238068111,0.0177087336555938,seeding_regime,shapley,0.98647283603042,0.8813595636301041,1.011042683954512,12.796826738049324
E-SD,mean_total_shift,2.0963918022549478e-05,0.0533874000693248,0.0003043838607483,0.0009455026550864,topology,main,0.0075812532596499,1.5893277184348724e-07,0.0008481986497095,2.3076111364834588e-06
E-SD,mean_total_shift,2.0963918022549478e-05,0.0533874000693248,0.0003043838607483,0.0009455026550864,topology,shapley,0.038549398923707,8.081464388551518e-07,0.0021894914636471,1.1733814873927254e-05
E-SD,mean_total_shift,2.0963918022549478e-05,0.0533874000693248,0.0003043838607483,0.0009455026550864,message_condition,main,0.865377103158164,1.8141694649199088e-05,0.000222601686872,0.0002634068236625
E-SD,mean_total_shift,2.0963918022549478e-05,0.0533874000693248,0.0003043838607483,0.0009455026550864,message_condition,shapley,0.893939656725843,1.8740477680706588e-05,0.0001468306802708,0.0002721008039902
E-SD,mean_total_shift,2.0963918022549478e-05,0.0533874000693248,0.0003043838607483,0.0009455026550864,inoculation,main,0.0176222480860005,3.694313642479451e-07,0.0027072681858497,5.363927907482533e-06
E-SD,mean_total_shift,2.0963918022549478e-05,0.0533874000693248,0.0003043838607483,0.0009455026550864,inoculation,shapley,0.0420217516326933,8.809405563917181e-07,0.003332426849645,1.2790742997368584e-05
E-SD,mean_total_shift,2.0963918022549478e-05,0.0533874000693248,0.0003043838607483,0.0009455026550864,seeding_regime,main,0.0036488206945021,7.649357791852439e-08,9.267404318931677e-08,1.1106421301711252e-06
E-SD,mean_total_shift,2.0963918022549478e-05,0.0533874000693248,0.0003043838607483,0.0009455026550864,seeding_regime,shapley,0.0254891927177565,5.343533465960131e-07,6.129780217024419e-07,7.758498886790131e-06
CS-45,mean_total_shift,0.2061169692879262,0.495384558856371,2.9926981592911064,0.0087733700288706,topology,main,0.0003273977857529,6.748223935097558e-05,0.3601418614484253,0.0009798027507788
CS-45,mean_total_shift,0.2061169692879262,0.495384558856371,2.9926981592911064,0.0087733700288706,topology,shapley,0.0005347852131429,0.000110228307353,0.2986388684006455,0.0016004507229889
CS-45,mean_total_shift,0.2061169692879262,0.495384558856371,2.9926981592911064,0.0087733700288706,message_condition,main,0.1928635429846108,0.0397524489661196,0.4877693274120462,0.577182370084406
CS-45,mean_total_shift,0.2061169692879262,0.495384558856371,2.9926981592911064,0.0087733700288706,message_condition,shapley,0.2368489369645365,0.0488185850661973,0.3824911070709023,0.7088173776838238
CS-45,mean_total_shift,0.2061169692879262,0.495384558856371,2.9926981592911064,0.0087733700288706,inoculation,main,0.0002504042972735,5.16125748507055e-05,0.3782274473840395,0.0007493844795292
CS-45,mean_total_shift,0.2061169692879262,0.495384558856371,2.9926981592911064,0.0087733700288706,inoculation,shapley,0.0004068663259099,8.386205400186799e-05,0.317233845569417,0.0012176281046281
